no_of_dependents,graduated,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_approved
0,True,False,5000000,14400000,2,761,-100000,7300000,12600000,4500000,True
2,False,True,600000,2100000,18,572,400000,500000,1400000,300000,True
4,True,False,2200000,8600000,6,601,2700000,2900000,6700000,3300000,True
1,True,True,2600000,5500000,14,820,2700000,2400000,9300000,2000000,True
4,False,False,1200000,4300000,8,598,1600000,1800000,3200000,1300000,True
2,True,False,3100000,8700000,18,544,5300000,1100000,12200000,1500000,False
5,False,True,4600000,14500000,14,561,2300000,6200000,10200000,5800000,True
4,True,True,9300000,35500000,6,547,2800000,17800000,27000000,13900000,False
4,True,False,6300000,13400000,2,504,10500000,10900000,14500000,9400000,False
2,False,False,5900000,20800000,14,530,7100000,5800000,13100000,8800000,False
2,True,True,2900000,10600000,6,614,1000000,300000,7600000,3600000,True
4,False,False,6100000,22400000,18,351,11800000,5000000,24400000,4800000,False
4,True,True,5900000,19700000,10,431,3300000,9200000,22700000,5300000,False
1,False,True,4600000,18400000,10,403,200000,8800000,17300000,2900000,False
2,False,False,7000000,20200000,8,668,16600000,5000000,26100000,9100000,True
3,False,True,5100000,10400000,18,399,8000000,4300000,20100000,4600000,False
1,True,False,3100000,10600000,14,665,6200000,800000,9500000,3900000,True
2,True,False,4100000,12800000,16,344,10300000,7000000,15800000,4100000,False
0,True,False,1800000,5400000,16,555,3900000,2900000,5100000,1700000,True
4,False,True,8200000,26900000,20,301,23800000,13600000,31000000,9900000,False
2,False,True,800000,2100000,6,726,2000000,0,2600000,600000,True
2,True,False,8400000,23100000,6,689,5700000,2500000,18900000,11900000,True
0,False,False,8500000,33900000,4,665,8500000,12800000,17900000,4500000,True
3,False,True,3300000,12700000,16,608,3600000,6200000,12600000,4500000,True
3,False,False,5800000,12800000,20,335,4400000,3000000,15300000,8000000,False
3,False,False,4400000,10500000,18,677,100000,2000000,12100000,5000000,True
1,False,False,2600000,8500000,2,491,1700000,1800000,5300000,2600000,True
2,False,True,9600000,28100000,20,763,23000000,11800000,27500000,10300000,True
5,False,True,5200000,18100000,8,809,2400000,6900000,14000000,5500000,True
5,False,True,9700000,36400000,16,544,3500000,15000000,31300000,5200000,False
1,True,True,200000,800000,14,624,600000,0,600000,0,True
3,True,False,6500000,16800000,10,388,9500000,800000,14900000,7200000,False
4,True,True,7200000,23100000,14,644,13300000,3500000,18300000,4200000,True
0,False,False,5200000,18400000,14,600,7300000,9700000,16500000,3600000,True
2,False,False,6500000,14100000,2,709,1000000,12700000,20900000,4000000,True
5,True,True,2300000,5600000,8,642,2600000,1900000,8600000,2500000,True
0,False,True,3300000,10400000,4,423,7400000,4700000,11600000,3200000,True
0,False,True,2000000,5900000,12,900,3800000,2400000,7100000,3000000,True
2,True,True,8300000,19500000,4,415,2300000,9400000,21700000,8600000,False
4,True,True,3800000,14300000,4,645,1300000,1100000,10900000,4600000,True
0,False,False,5700000,15600000,16,742,700000,5800000,11400000,6800000,True
4,False,False,7300000,19800000,8,724,5500000,6000000,29000000,10300000,True
1,True,False,1600000,5400000,12,707,600000,1700000,6200000,800000,True
5,False,True,800000,2500000,4,780,500000,900000,1700000,400000,True
4,False,False,6300000,21900000,10,538,9600000,5400000,19300000,7800000,False
2,True,False,8800000,17700000,14,706,22900000,4300000,30300000,9200000,True
0,True,False,7300000,14500000,16,811,1000000,12400000,16100000,9600000,True
2,True,True,3800000,9100000,14,849,6300000,2400000,9500000,2500000,True
3,True,False,6200000,16700000,10,880,15800000,8200000,20100000,9100000,True
5,False,True,3500000,9500000,4,664,9500000,500000,7800000,5200000,True
5,True,True,1400000,5000000,2,465,0,2600000,5300000,1500000,True
3,False,True,3500000,12000000,2,786,600000,6400000,10700000,1700000,True
1,True,True,600000,2000000,10,326,400000,1000000,2400000,700000,False
0,False,False,4100000,10800000,16,399,5900000,7600000,12700000,5300000,False
2,False,True,5400000,11500000,6,841,6800000,100000,11100000,6600000,True
2,False,True,2000000,6700000,14,638,4900000,200000,4900000,2300000,True
4,True,True,3500000,8900000,4,478,4000000,3900000,11300000,3800000,False
0,True,True,8300000,30000000,4,600,14600000,12500000,24800000,12000000,True
0,True,True,6700000,15600000,16,768,300000,1800000,26000000,3800000,True
0,False,False,1900000,6500000,10,523,2400000,1100000,6200000,1100000,False
2,True,True,6500000,20900000,14,327,8200000,100000,22800000,4700000,False
1,True,True,600000,1800000,8,799,1000000,700000,2200000,800000,True
5,True,False,7000000,23000000,18,803,18700000,6300000,27800000,4100000,True
2,True,False,7700000,15400000,18,524,12900000,5100000,21000000,6600000,False
1,True,False,2600000,6600000,6,506,2300000,1900000,9600000,2100000,False
1,True,False,9200000,18800000,2,351,22400000,2200000,31500000,13000000,False
2,True,True,1800000,4200000,8,648,1200000,3100000,6200000,1600000,True
1,False,False,4900000,18500000,4,612,6100000,5900000,16400000,2900000,True
1,True,False,5700000,12400000,14,396,5400000,7500000,17600000,5600000,False
3,False,False,300000,800000,2,458,500000,0,1100000,200000,False
3,True,True,1700000,3400000,6,488,100000,500000,4500000,1600000,False
4,True,False,7000000,18900000,6,475,1300000,6100000,14700000,5200000,False
1,False,False,2200000,7000000,18,417,2000000,3900000,6500000,1900000,False
2,False,False,6800000,18700000,8,781,17600000,900000,23700000,5400000,True
1,False,True,2400000,6200000,12,337,3400000,2100000,9400000,2300000,False
0,False,True,600000,1800000,12,511,300000,200000,2200000,400000,False
4,True,False,6200000,17300000,6,837,12600000,3700000,24700000,4600000,True
1,False,False,7600000,24600000,12,810,1300000,10500000,30300000,5200000,True
2,False,False,4800000,10600000,8,588,3700000,5200000,15000000,4500000,True
5,True,False,4200000,9200000,12,870,3200000,2400000,12300000,5700000,True
0,False,True,7200000,20700000,10,733,15600000,12000000,19200000,9900000,True
5,False,True,6400000,20300000,16,348,10000000,10900000,20400000,6900000,False
0,False,True,8900000,23000000,12,741,5600000,11200000,27100000,7100000,True
3,False,False,5100000,14500000,12,306,700000,8800000,11600000,2900000,False
2,True,True,6300000,19500000,18,428,15900000,7200000,19900000,6500000,False
3,True,False,6600000,22100000,4,455,3800000,3000000,25100000,7400000,True
1,False,True,4800000,14700000,2,356,7100000,8800000,13400000,5500000,True
0,True,False,200000,400000,4,594,500000,0,400000,100000,True
0,False,True,7500000,25800000,18,844,9100000,600000,18600000,6500000,True
4,True,False,9000000,34700000,4,771,4800000,9500000,34100000,7700000,True
2,True,False,5400000,12500000,4,622,14400000,2900000,11800000,5400000,True
1,False,True,1700000,4500000,20,480,200000,600000,5400000,1900000,False
4,True,False,4300000,11500000,20,337,11100000,6000000,17000000,5200000,False
1,True,False,5200000,11200000,6,698,14100000,7600000,18800000,2700000,True
4,False,False,4400000,17000000,18,302,1000000,2100000,14000000,5700000,False
1,False,True,3900000,7800000,14,349,11200000,500000,11800000,3600000,False
0,True,False,1100000,3300000,10,482,2800000,300000,2900000,1600000,False
2,True,False,2500000,8200000,10,429,1500000,4100000,5900000,2200000,False
4,True,False,500000,1300000,8,471,500000,300000,1500000,700000,False
0,True,True,9000000,32400000,10,895,16800000,5800000,20700000,9500000,True
1,False,True,5100000,20300000,18,757,11800000,3400000,13400000,3200000,True
2,True,False,5200000,13500000,2,777,7000000,5200000,15500000,6100000,True
5,False,True,4400000,8900000,4,761,8100000,1000000,14200000,3000000,True
1,True,False,1900000,4200000,12,821,5200000,1500000,5000000,2700000,True
4,False,True,9200000,26500000,6,662,1000000,400000,26900000,5300000,True
2,False,True,4800000,16500000,10,350,2000000,6500000,11400000,2900000,False
4,False,False,4900000,10700000,20,321,1200000,400000,11100000,6500000,False
3,True,True,4800000,10100000,4,368,9100000,5100000,16500000,3500000,False
4,True,False,9300000,24900000,14,455,27600000,4700000,35100000,13900000,False
5,False,True,7500000,24600000,8,744,1600000,3600000,16700000,9300000,True
1,True,False,5900000,16800000,4,806,11200000,9700000,22800000,7100000,True
0,True,False,9400000,27900000,6,456,21400000,18500000,35600000,7800000,False
5,True,False,5300000,13400000,8,719,1600000,200000,11400000,5300000,True
4,True,False,3700000,9000000,18,668,7800000,1600000,13400000,3100000,True
0,True,True,2500000,5800000,18,494,5100000,4400000,8500000,2300000,False
4,False,False,2800000,10800000,2,841,700000,2600000,7100000,4100000,True
0,True,True,5400000,21400000,8,721,8200000,6400000,16700000,7400000,True
5,True,False,3100000,9400000,10,414,200000,5300000,8000000,2800000,False
5,False,False,4800000,15500000,10,812,9500000,1500000,17800000,3500000,True
1,False,False,8800000,17500000,20,832,1800000,3600000,24000000,7400000,True
2,True,False,4100000,14900000,12,571,-100000,5200000,13000000,3400000,True
5,False,False,9700000,37000000,14,459,28700000,17900000,22800000,5600000,False
2,True,True,6400000,24100000,6,592,2500000,6300000,20200000,6000000,True
5,True,False,3400000,13100000,20,527,900000,4500000,8600000,4000000,False
4,False,False,3500000,10200000,12,333,7600000,6400000,8100000,3400000,False
3,False,False,3200000,10000000,18,532,3300000,100000,9800000,2100000,False
2,True,True,4900000,13100000,18,754,8200000,3300000,16500000,7200000,True
0,True,True,1300000,4800000,4,835,500000,100000,3300000,800000,False
4,True,False,2500000,5400000,10,592,3400000,1500000,9900000,2900000,True
0,True,False,7500000,27300000,20,553,11600000,2800000,26200000,6100000,True
2,True,False,700000,2000000,8,806,1900000,1100000,2200000,400000,True
4,True,True,8200000,28500000,2,378,6800000,11200000,26400000,11500000,True
1,False,False,6900000,26200000,4,534,14500000,11900000,14900000,9400000,True
1,False,True,1500000,5900000,16,400,4200000,2400000,4800000,1500000,False
3,True,False,6300000,18300000,18,543,1800000,9400000,17700000,3500000,False
0,False,True,8800000,25600000,10,715,25300000,2500000,34900000,8600000,True
4,True,True,8900000,20700000,6,684,1100000,9200000,20400000,6700000,True
3,False,True,2100000,6100000,8,346,5500000,600000,4500000,2900000,False
1,True,True,9200000,29200000,6,669,9900000,12900000,23400000,11700000,True
2,False,False,3600000,8000000,12,566,10500000,3000000,8900000,2700000,True
0,False,True,8600000,23600000,2,361,25800000,5300000,24700000,7500000,False
5,True,False,3000000,8000000,6,333,3200000,400000,8200000,2200000,False
3,False,True,5200000,16300000,8,335,9500000,7000000,13600000,7300000,False
3,True,True,7200000,20400000,10,558,0,13200000,27200000,10600000,True
1,False,True,4000000,15600000,12,436,10400000,2800000,14800000,3200000,False
1,False,False,2400000,5200000,2,371,6100000,3100000,8500000,1400000,False
2,False,True,5500000,18400000,10,515,6800000,4400000,18500000,4100000,False
0,False,True,9000000,24300000,10,599,12900000,3400000,26900000,6400000,True
0,False,True,7900000,24000000,20,728,18600000,15600000,21800000,7400000,True
2,False,True,6200000,21600000,20,679,18600000,2500000,24500000,9100000,True
3,True,True,7900000,29200000,4,399,23200000,5500000,30200000,6900000,True
3,False,False,1200000,4500000,6,819,1400000,1100000,4400000,900000,True
1,True,False,4700000,11700000,6,308,11800000,1100000,15100000,3700000,False
5,True,True,5900000,15600000,2,730,12600000,4700000,15900000,5900000,True
4,False,True,1400000,5100000,14,312,4000000,1000000,3200000,1400000,False
3,False,True,4700000,12800000,16,740,2200000,8600000,11700000,6100000,True
5,True,True,7600000,20000000,10,522,21500000,1400000,20400000,4300000,False
4,True,False,7200000,16900000,4,702,15900000,7100000,22000000,9600000,True
4,False,True,1400000,4300000,16,447,3600000,1200000,5300000,1000000,False
5,True,False,1400000,2900000,4,829,800000,600000,5400000,1600000,True
2,True,False,7900000,18500000,18,727,20200000,12400000,19600000,7100000,True
5,False,True,7600000,18700000,14,509,8500000,8500000,22200000,3700000,False
3,True,True,9600000,34200000,2,745,2500000,2000000,33000000,6700000,True
1,False,False,2300000,6600000,18,513,4600000,900000,9000000,1600000,False
2,False,False,8100000,18500000,6,372,19100000,10200000,31000000,7900000,False
2,True,True,300000,700000,4,411,600000,0,1200000,100000,False
4,True,False,4700000,10800000,20,495,11300000,6800000,17000000,4500000,False
5,False,False,1100000,2500000,4,827,2400000,1000000,4100000,600000,True
4,False,False,8600000,25100000,6,820,14400000,5000000,26000000,8300000,True
5,True,True,8700000,28100000,10,660,25500000,800000,25900000,10100000,True
0,False,False,2200000,8600000,4,563,900000,1000000,4400000,2800000,True
1,False,True,500000,1400000,10,883,900000,0,1700000,300000,True
0,False,True,9100000,22000000,12,387,25300000,15600000,31700000,7000000,False
1,True,False,2200000,8700000,12,613,500000,1800000,5700000,2400000,True
0,False,True,2200000,8000000,14,335,2800000,3700000,6900000,2900000,False
1,True,True,9600000,34500000,2,795,9500000,900000,32000000,9300000,True
1,True,True,6500000,13900000,8,369,9600000,300000,17200000,8300000,False
4,True,True,2400000,7400000,18,888,2700000,1600000,7600000,3200000,True
4,False,False,5500000,12300000,6,742,12900000,2700000,19800000,4300000,True
0,True,False,5000000,14400000,4,874,3000000,9300000,14100000,3900000,True
1,True,False,2700000,8100000,16,691,2000000,3600000,8100000,2100000,True
3,False,True,8500000,30300000,12,762,12700000,3700000,20000000,4200000,True
1,True,False,4400000,10700000,18,324,2200000,3300000,12700000,5400000,False
4,False,False,500000,1800000,20,777,900000,300000,1300000,200000,True
0,True,False,8300000,21400000,2,662,6100000,12300000,24500000,10200000,True
2,False,True,6000000,13000000,12,462,2100000,2500000,14600000,5600000,False
3,False,True,4000000,10400000,14,609,2100000,6900000,11700000,4600000,True
5,True,True,4400000,11700000,20,590,900000,2700000,15500000,2300000,True
3,True,True,4400000,15800000,18,779,7200000,5400000,14900000,3600000,True
2,True,True,1900000,5000000,14,641,1000000,900000,5500000,2400000,True
0,True,True,5000000,18400000,12,752,14600000,4000000,10500000,6500000,True
0,True,False,8000000,23700000,10,305,22200000,11600000,17200000,12000000,False
4,False,False,8200000,20700000,10,546,10800000,7000000,25000000,10600000,False
2,True,False,7000000,24200000,8,833,13700000,4100000,26100000,9100000,True
2,False,False,2400000,8800000,18,421,3200000,1500000,6700000,1400000,False
5,True,False,6600000,18800000,4,639,3200000,1100000,25100000,4300000,True
3,True,False,3200000,6900000,20,735,1500000,3700000,9200000,3100000,True
0,False,True,2600000,5400000,2,377,100000,4900000,6100000,2700000,False
3,False,False,6900000,15600000,20,310,4500000,3600000,20400000,4800000,False
4,True,False,4800000,14000000,2,695,11300000,1700000,15400000,4600000,True
1,False,True,300000,1200000,4,355,700000,300000,800000,200000,True
1,False,True,4300000,14100000,12,525,2100000,1100000,14100000,5500000,False
5,False,False,700000,2400000,20,330,1300000,700000,2500000,500000,False
5,True,False,9400000,25800000,14,625,28200000,15400000,30800000,11100000,True
3,False,True,800000,2900000,10,644,600000,500000,2900000,400000,True
5,False,False,4400000,14900000,4,865,8200000,6200000,14900000,3500000,True
1,True,True,4700000,14800000,6,661,8500000,6000000,13600000,6400000,True
2,False,False,2300000,5000000,8,884,1400000,1700000,6100000,1500000,True
5,True,True,8500000,26700000,10,803,500000,16600000,24400000,9600000,True
2,True,False,7600000,28300000,12,800,19700000,14800000,15600000,7800000,True
2,True,False,3200000,12600000,18,796,6200000,3500000,9600000,2000000,True
4,False,False,2400000,5000000,4,716,1500000,2800000,6900000,1400000,True
0,True,True,500000,1100000,18,479,1500000,500000,1800000,600000,False
3,False,True,8500000,28300000,2,810,25200000,4300000,18500000,10700000,True
0,True,True,8900000,20900000,18,568,18800000,700000,32700000,5300000,True
0,True,False,2800000,5600000,8,842,0,1300000,6100000,1900000,True
3,False,True,2900000,7000000,4,806,5700000,5600000,5900000,3000000,True
1,True,True,4900000,17700000,8,722,9200000,7300000,16400000,3000000,True
5,False,False,9600000,20700000,14,442,25800000,9800000,31800000,8200000,False
3,True,True,3300000,9800000,6,360,4500000,600000,11000000,4400000,False
3,False,False,2800000,5900000,4,461,1600000,400000,8900000,2800000,False
2,True,False,7800000,22200000,10,735,9700000,4600000,23000000,6900000,True
4,True,True,2500000,8400000,12,761,6300000,1300000,8400000,1600000,True
0,True,False,4400000,10600000,20,653,6800000,4600000,16800000,5400000,True
0,False,False,7900000,30800000,4,726,5000000,14600000,23800000,5500000,True
1,True,False,8900000,22600000,18,617,8400000,15500000,27900000,11700000,True
0,True,False,5600000,13400000,2,460,3400000,4100000,14800000,4100000,False
1,False,False,1400000,3300000,8,306,3200000,800000,2700000,800000,False
5,True,True,500000,1400000,4,471,500000,100000,1300000,300000,False
1,True,True,5100000,15300000,4,628,6900000,3300000,17600000,2700000,True
3,True,False,9800000,25600000,10,404,24400000,6700000,37000000,11500000,False
2,True,True,8600000,21600000,16,804,15400000,300000,26800000,7100000,True
3,False,False,1600000,3900000,20,804,900000,2500000,3200000,800000,True
1,False,True,2500000,6700000,2,502,3400000,2600000,9400000,1400000,False
0,True,False,9500000,22600000,6,861,24700000,13200000,29000000,5600000,True
2,False,True,3000000,7800000,14,555,6600000,2700000,9600000,1700000,True
0,False,False,5100000,13600000,18,351,1700000,3700000,14400000,7600000,False
2,False,True,7600000,23600000,6,358,20200000,2900000,22100000,10900000,False
5,True,False,8800000,18800000,14,836,17300000,10100000,32700000,5400000,True
4,False,True,1100000,2900000,4,554,2800000,1000000,4100000,1600000,True
3,True,False,8700000,30500000,2,443,11800000,1800000,24600000,8100000,True
5,False,False,6100000,23600000,4,725,17400000,5100000,15600000,4800000,True
2,False,True,1900000,7000000,14,818,4800000,3500000,4500000,2100000,True
1,False,False,9900000,38700000,6,670,19400000,12600000,35800000,6500000,True
0,True,False,5800000,21100000,6,414,7900000,2400000,16000000,5600000,False
2,False,True,9500000,37000000,8,887,21800000,18300000,19200000,11700000,True
3,True,True,7900000,26600000,12,409,17100000,1400000,22500000,8700000,False
1,False,True,1300000,4500000,14,679,2700000,2100000,3700000,1600000,True
4,True,True,700000,2600000,18,478,600000,600000,2100000,300000,False
3,True,False,600000,1200000,2,752,1100000,500000,2300000,700000,True
0,True,False,9400000,33000000,4,616,15400000,5000000,25100000,7800000,True
2,False,True,3800000,12500000,14,842,3700000,6700000,14600000,5300000,True
3,True,True,7800000,26300000,20,840,1200000,11300000,24100000,5300000,True
3,True,True,7800000,27700000,6,430,2000000,8000000,26100000,5300000,False
4,False,False,2700000,7000000,4,351,1100000,2300000,8300000,2700000,False
5,False,False,600000,2300000,4,347,0,0,1900000,200000,False
3,False,True,8000000,28800000,10,576,18800000,7500000,16300000,11900000,True
0,False,True,4000000,11000000,8,799,4400000,6100000,14700000,4200000,True
1,False,True,3300000,10800000,2,550,6000000,3800000,11000000,4700000,True
2,True,False,5800000,13300000,4,878,8400000,5400000,18600000,4500000,True
3,True,True,2400000,4800000,12,895,6800000,300000,7300000,3300000,True
4,False,False,7600000,29700000,6,603,3200000,2900000,27800000,11000000,True
2,False,True,2500000,6900000,12,325,5800000,1600000,6400000,3600000,False
2,True,False,3300000,11800000,4,393,5700000,3700000,6800000,2600000,True
3,True,False,9800000,30300000,2,612,10700000,4600000,32100000,5600000,True
0,True,True,1000000,3800000,8,553,2500000,1000000,2100000,1300000,True
0,False,True,2500000,8800000,14,389,7300000,1400000,8500000,3600000,False
0,True,False,1900000,6800000,4,782,100000,3400000,4900000,2400000,True
3,True,False,3100000,8500000,12,493,8700000,5100000,12000000,2000000,False
5,True,True,6000000,11900000,2,629,2500000,0,19200000,4200000,True
5,False,False,6500000,21600000,10,419,1600000,10900000,22300000,6600000,False
2,False,True,5900000,15800000,2,444,14300000,4300000,20300000,5500000,False
5,False,True,6500000,15800000,16,301,9200000,9900000,17400000,7100000,False
0,True,True,3800000,11200000,20,479,1100000,6400000,12000000,5400000,False
3,False,True,3000000,11400000,10,424,1800000,4200000,10900000,1500000,False
0,True,False,4300000,16900000,18,469,200000,5800000,12000000,6200000,False
4,False,True,3500000,8300000,2,897,7900000,5500000,12600000,1800000,True
3,False,False,300000,500000,2,477,700000,200000,800000,400000,False
3,False,True,600000,1400000,16,509,600000,300000,2400000,900000,False
0,True,True,800000,1700000,4,752,2300000,1100000,3200000,400000,True
0,False,True,5600000,19100000,14,875,16700000,4700000,15100000,7700000,True
2,False,True,1800000,3600000,4,343,3400000,1100000,6200000,1500000,False
0,True,False,6800000,20800000,20,819,16500000,11900000,26700000,8000000,True
2,True,True,4200000,16800000,2,433,3300000,0,14100000,3700000,True
1,False,True,200000,400000,6,768,300000,100000,600000,0,True
2,True,True,8500000,31800000,6,714,17000000,900000,26600000,5600000,True
2,False,True,2800000,10100000,16,531,2900000,2900000,7200000,4100000,False
0,True,True,3600000,8600000,6,529,3500000,3300000,11300000,5200000,False
1,False,False,6200000,19500000,20,448,3300000,7100000,22400000,8000000,False
1,True,False,2700000,10000000,2,584,6500000,2700000,7700000,3400000,True
1,True,False,6800000,22900000,4,501,3900000,9400000,17300000,4400000,True
2,False,False,6300000,24500000,18,848,10200000,3500000,18200000,8200000,True
4,False,False,8800000,19100000,6,586,17600000,8800000,20600000,12400000,True
1,True,False,5900000,13000000,2,386,16300000,5000000,12000000,3800000,False
5,False,True,9800000,37900000,18,301,6700000,4900000,34300000,6200000,False
2,True,False,3300000,8300000,6,653,4700000,3100000,8300000,4600000,True
4,True,True,300000,500000,14,448,700000,100000,800000,100000,False
1,False,True,4800000,11600000,16,696,1400000,9400000,11800000,6500000,True
1,True,False,7500000,28300000,16,707,9700000,1100000,16300000,6700000,True
2,False,False,8600000,21700000,4,429,5500000,10800000,30900000,6000000,False
4,False,False,8900000,21100000,6,631,4200000,200000,25800000,6200000,True
5,False,True,9600000,29600000,4,446,22900000,3500000,36600000,13200000,True
0,True,True,7700000,18100000,18,705,6100000,5100000,23800000,6300000,True
3,False,True,7000000,15200000,2,709,10300000,12500000,20700000,4000000,True
4,False,True,7800000,19500000,14,739,1900000,9000000,20400000,4400000,True
3,True,False,5100000,11000000,6,336,-100000,5800000,11600000,7500000,False
4,True,False,9400000,32600000,4,898,18200000,4000000,22000000,10200000,True
4,False,True,600000,2100000,6,558,1300000,1000000,2200000,300000,True
3,True,False,5100000,13300000,4,589,11200000,2700000,20200000,6100000,True
2,True,True,3800000,14400000,2,301,2300000,1400000,7600000,2400000,False
2,False,True,5300000,21200000,14,516,2200000,5000000,20900000,7700000,False
5,False,False,1100000,3600000,12,315,1300000,700000,3100000,1400000,False
3,False,False,6400000,14400000,10,546,10600000,10000000,21200000,5100000,False
0,False,True,5100000,14500000,14,559,11000000,1100000,12300000,6000000,True
3,True,True,5300000,16900000,2,350,15800000,3100000,14300000,6800000,True
1,True,False,6700000,18700000,8,583,9300000,4100000,17100000,6900000,True
2,False,False,4000000,9400000,8,874,4400000,3700000,10200000,4800000,True
2,False,True,3900000,11600000,8,808,5800000,3100000,12900000,5000000,True
1,True,True,1600000,4900000,16,487,4300000,1100000,3900000,2000000,False
3,True,False,2700000,7800000,14,870,5400000,5300000,5700000,2100000,True
3,True,False,1400000,3800000,8,840,1700000,200000,5300000,1500000,True
4,False,True,8000000,19200000,18,682,2500000,8900000,19000000,5300000,True
3,True,True,8200000,28900000,10,668,23800000,4500000,28700000,10900000,True
5,True,True,4800000,10300000,8,781,4800000,6800000,11100000,4300000,True
4,True,False,8100000,19000000,6,375,4100000,14500000,19100000,11900000,False
4,False,False,5900000,14900000,14,857,2600000,9500000,16000000,3500000,True
5,True,True,8100000,32100000,6,823,18200000,1800000,24100000,6500000,True
0,True,False,1400000,5000000,8,686,1800000,1900000,3200000,1500000,True
1,True,False,1600000,6300000,2,721,3000000,600000,5200000,900000,True
4,True,False,4600000,9400000,18,545,800000,2400000,11500000,6300000,False
1,False,False,2900000,8900000,6,523,900000,5600000,9700000,1800000,False
2,True,True,8600000,24900000,20,607,13600000,7600000,31800000,5400000,True
4,False,False,3800000,14900000,20,428,6500000,3500000,12200000,2500000,False
0,False,False,8200000,20300000,4,666,13100000,10200000,25900000,7800000,True
3,True,False,3200000,10100000,20,704,3400000,4800000,9000000,3900000,True
0,False,True,8100000,23800000,10,794,5400000,15500000,20700000,8800000,True
1,True,True,9800000,23300000,12,430,3200000,12600000,30500000,13900000,False
0,False,False,200000,500000,20,615,500000,200000,600000,200000,True
0,False,False,6600000,14100000,20,360,6800000,5100000,25400000,7800000,False
0,False,False,9100000,18300000,14,458,6100000,9200000,34100000,10000000,False
2,False,False,5500000,20400000,12,887,8800000,9400000,12300000,3300000,True
4,False,False,7200000,27400000,8,735,14100000,14200000,19400000,9500000,True
1,False,False,2400000,5600000,16,379,3700000,600000,7200000,3400000,False
4,True,False,9600000,25500000,20,544,4000000,11400000,23800000,11100000,False
1,True,True,5800000,16700000,12,721,1100000,9700000,17200000,7500000,True
4,False,False,2300000,6000000,8,676,6000000,400000,4800000,2200000,True
1,False,False,300000,1200000,4,342,800000,100000,1100000,200000,True
0,False,False,9900000,27000000,16,566,3500000,17300000,36900000,11500000,True
2,False,False,3500000,14000000,2,355,8700000,1600000,11800000,2900000,True
2,True,False,4800000,18500000,20,605,5700000,5500000,14700000,5800000,True
2,False,False,1600000,5200000,16,525,300000,2900000,5600000,1600000,False
5,True,True,800000,2500000,12,403,500000,0,3200000,800000,False
1,True,True,9000000,33500000,18,727,18800000,10500000,28100000,5300000,True
1,True,False,8300000,28900000,12,529,18300000,3900000,32500000,5800000,False
4,True,False,2800000,6100000,18,415,2200000,4200000,8400000,2000000,False
1,True,True,6400000,17300000,10,879,10000000,1100000,15400000,8200000,True
2,False,True,6000000,12600000,16,649,4800000,5300000,23900000,5100000,True
0,True,False,2900000,9800000,16,395,5400000,4300000,8600000,2400000,False
0,True,False,6500000,24100000,20,488,3300000,6000000,22900000,9700000,False
1,True,True,200000,400000,8,569,200000,200000,700000,300000,True
1,False,False,8400000,24600000,14,817,1800000,13100000,31300000,8200000,True
1,True,True,6100000,17800000,20,706,16000000,10900000,16900000,4300000,True
2,True,True,8000000,31200000,8,553,6800000,3500000,21000000,10300000,True
5,False,True,900000,1800000,14,464,2300000,300000,1800000,700000,False
2,True,False,7300000,20000000,6,729,13100000,10700000,17900000,9100000,True
4,False,True,3700000,7400000,12,363,4800000,6800000,10500000,4400000,False
2,True,False,5200000,17200000,12,565,3500000,1300000,20000000,6300000,True
1,True,False,7200000,21000000,14,421,3500000,11600000,21800000,4600000,False
0,False,True,9400000,34200000,10,512,13100000,15600000,32600000,6300000,False
3,False,True,3400000,12400000,2,730,2500000,3900000,12200000,4600000,True
0,True,False,600000,2300000,8,627,1800000,500000,2200000,300000,True
0,False,True,3300000,10000000,16,434,3000000,4100000,12900000,4100000,False
2,True,True,5900000,14300000,2,410,11900000,4400000,16900000,4100000,False
3,False,False,1300000,3600000,16,624,2400000,2300000,3300000,1900000,True
4,True,True,5700000,16900000,4,656,13000000,7400000,22000000,8400000,True
2,False,False,7700000,27300000,16,758,7300000,4600000,24800000,9100000,True
4,False,True,7000000,23500000,18,336,15000000,9500000,19700000,7800000,False
5,True,False,8100000,21900000,18,378,5200000,3400000,16200000,9600000,False
1,True,True,1900000,4200000,4,620,4700000,2800000,7500000,900000,True
2,True,False,4500000,9100000,18,593,-100000,600000,12400000,2500000,True
0,False,True,9600000,34000000,12,710,23800000,10300000,38100000,7800000,True
1,False,True,5400000,20700000,8,753,1900000,800000,19000000,3600000,True
1,False,True,7800000,27200000,16,454,16100000,3400000,17100000,11400000,False
1,True,True,8200000,19100000,8,619,17200000,12200000,31500000,6600000,True
2,True,False,8900000,28500000,6,367,22200000,16600000,21500000,9300000,False
1,True,False,1400000,3100000,20,384,200000,1200000,4200000,1800000,False
2,True,False,1700000,5900000,16,610,3100000,300000,3700000,1300000,True
0,True,False,5300000,19500000,12,802,9800000,3300000,15200000,3200000,True
3,True,False,6500000,25200000,10,858,15400000,10900000,14000000,8100000,True
2,True,False,5900000,14000000,8,599,4700000,9500000,17800000,6700000,True
4,True,True,9800000,27000000,2,395,18700000,3000000,23000000,9700000,False
3,True,True,7700000,16200000,6,380,11500000,15100000,22500000,6400000,False
1,True,False,7900000,27100000,10,803,20000000,9800000,22200000,6600000,True
